district,year,AvgRain,AvgTemp
AMRITSAR,1998,21.14916667,27.10916667
AMRITSAR,1999,26.2825,27.5775
AMRITSAR,2000,33.02083333,26.97333333
AMRITSAR,2001,45.05583333,26.55125
AMRITSAR,2002,33.74583333,27.36916667
AMRITSAR,2003,54.88166667,25.93083333
AMRITSAR,2004,42.83916667,26.97333333
AMRITSAR,2005,52.91583333,25.56041667
AMRITSAR,2006,70.41083333,25.94375
AMRITSAR,2007,55.90916667,25.94083333
AMRITSAR,2008,78.35166667,25.32708333
AMRITSAR,2009,36.28416667,26.58416667
AMRITSAR,2010,58.83083333,26.36833333
AMRITSAR,2011,56.71333333,25.53291667
AMRITSAR,2012,43.16083333,25.68208333
BATHINDA,1998,27.87583333,27.08041667
BATHINDA,1999,16.4825,28.14166667
BATHINDA,2000,20.26666667,27.59791667
BATHINDA,2001,30.40833333,27.29583333
BATHINDA,2002,18.275,28.13958333
BATHINDA,2003,37.2525,26.53791667
BATHINDA,2004,27.58,27.69083333
BATHINDA,2005,34.2425,26.375
BATHINDA,2006,32.12666667,27.20625
BATHINDA,2007,34.32166667,27.13208333
BATHINDA,2008,49.255,26.26333333
BATHINDA,2009,28.33083333,27.18125
BATHINDA,2010,42.1275,27.01166667
BATHINDA,2011,43.3875,26.29458333
BATHINDA,2012,32.535,26.11958333
FARIDKOT,1998,23.385,27.16416667
FARIDKOT,1999,19.7675,27.97625
FARIDKOT,2000,22.84083333,27.435
FARIDKOT,2001,32.3675,27.11625
FARIDKOT,2002,22.02416667,27.93333333
FARIDKOT,2003,37.48166667,26.46666667
FARIDKOT,2004,31.17583333,27.50583333
FARIDKOT,2005,40.05083333,26.1
FARIDKOT,2006,43.10666667,26.76416667
FARIDKOT,2007,36.405,26.8725
FARIDKOT,2008,56.525,25.96291667
FARIDKOT,2009,29.8275,27.00041667
FARIDKOT,2010,41.98083333,26.90458333
FARIDKOT,2011,45.48916667,26.09208333
FARIDKOT,2012,33.44083333,26.00541667
FATEHGARH SAHIB,1998,47.61583333,26.00708333
FATEHGARH SAHIB,1999,33.88083333,27.225
FATEHGARH SAHIB,2000,53.16583333,26.38208333
FATEHGARH SAHIB,2001,49.18416667,26.37166667
FATEHGARH SAHIB,2002,40.61083333,27.21166667
FATEHGARH SAHIB,2003,63.49083333,25.7175
FATEHGARH SAHIB,2004,52.715,26.535
FATEHGARH SAHIB,2005,53.77583333,25.74166667
FATEHGARH SAHIB,2006,51.31083333,26.45958333
FATEHGARH SAHIB,2007,48.4525,26.35916667
FATEHGARH SAHIB,2008,95.92416667,24.92833333
FATEHGARH SAHIB,2009,49.95833333,26.36416667
FATEHGARH SAHIB,2010,73.59166667,26.16833333
FATEHGARH SAHIB,2011,72.88,25.13291667
FATEHGARH SAHIB,2012,45.86166667,25.75541667
FIROZPUR,1998,23.385,27.16416667
FIROZPUR,1999,19.7675,27.97625
FIROZPUR,2000,22.84083333,27.435
FIROZPUR,2001,32.3675,27.11625
FIROZPUR,2002,22.02416667,27.93333333
FIROZPUR,2003,37.48166667,26.46666667
FIROZPUR,2004,31.17583333,27.50583333
FIROZPUR,2005,40.05083333,26.1
FIROZPUR,2006,43.10666667,26.76416667
FIROZPUR,2007,36.405,26.8725
FIROZPUR,2008,56.525,25.96291667
FIROZPUR,2009,29.8275,27.00041667
FIROZPUR,2010,41.98083333,26.90458333
FIROZPUR,2011,45.48916667,26.09208333
FIROZPUR,2012,33.44083333,26.00541667
GURDASPUR,1998,24.57916667,25.52208333
GURDASPUR,1999,30.54916667,25.92708333
GURDASPUR,2000,43.4175,25.2575
GURDASPUR,2001,53.46,24.95208333
GURDASPUR,2002,42.1575,25.71625
GURDASPUR,2003,74.43583333,24.22375
GURDASPUR,2004,50.8525,25.30625
GURDASPUR,2005,55.97833333,24.12208333
GURDASPUR,2006,83.44,24.49625
GURDASPUR,2007,71.8,24.26666667
GURDASPUR,2008,93.58416667,23.8325
GURDASPUR,2009,43.18583333,25.03
GURDASPUR,2010,79.73166667,24.80083333
GURDASPUR,2011,67.10166667,23.93416667
GURDASPUR,2012,53.06583333,24.24916667
HOSHIARPUR,1998,30.60083333,25.81583333
HOSHIARPUR,1999,35.5325,26.37541667
HOSHIARPUR,2000,45.085,25.79708333
HOSHIARPUR,2001,52.39333333,25.55375
HOSHIARPUR,2002,42.815,26.33125
HOSHIARPUR,2003,63.92416667,25.03416667
HOSHIARPUR,2004,50.45833333,25.90375
HOSHIARPUR,2005,58.44416667,24.74875
HOSHIARPUR,2006,79.065,25.21916667
HOSHIARPUR,2007,62.96083333,25.07583333
HOSHIARPUR,2008,101.3833333,24.3025
HOSHIARPUR,2009,45.20583333,25.605
HOSHIARPUR,2010,74.025,25.52458333
HOSHIARPUR,2011,72.22416667,24.46416667
HOSHIARPUR,2012,50.80416667,24.88833333
JALANDHAR,1998,32.34416667,26.38291667
JALANDHAR,1999,32.2,27.14458333
JALANDHAR,2000,41.01583333,26.54375
JALANDHAR,2001,45.6625,26.32708333
JALANDHAR,2002,37.0775,27.14
JALANDHAR,2003,53.6325,25.81208333
JALANDHAR,2004,45.565,26.64166667
JALANDHAR,2005,53.49083333,25.50916667
JALANDHAR,2006,63.88833333,26.04791667
JALANDHAR,2007,50.2,26.05
JALANDHAR,2008,90.14333333,24.945
JALANDHAR,2009,42.17916667,26.33958333
JALANDHAR,2010,62.85666667,26.25416667
JALANDHAR,2011,65.46583333,25.19083333
JALANDHAR,2012,44.08916667,25.59625
KAPURTHALA,1998,25.0475,26.83791667
KAPURTHALA,1999,27.48583333,27.48916667
KAPURTHALA,2000,31.97916667,26.95833333
KAPURTHALA,2001,40.47,26.62666667
KAPURTHALA,2002,31.44583333,27.45333333
KAPURTHALA,2003,45.74166667,26.11833333
KAPURTHALA,2004,39.37333333,27.00041667
KAPURTHALA,2005,49.77,25.68041667
KAPURTHALA,2006,60.74583333,26.1925
KAPURTHALA,2007,45.78,26.28833333
KAPURTHALA,2008,77.36166667,25.28041667
KAPURTHALA,2009,35.8925,26.62
KAPURTHALA,2010,52.47,26.5225
KAPURTHALA,2011,56.14583333,25.54416667
KAPURTHALA,2012,39.58916667,25.7525
LUDHIANA,1998,34.615,26.41208333
LUDHIANA,1999,26.82583333,27.4475
LUDHIANA,2000,37.05166667,26.77541667
LUDHIANA,2001,40.48583333,26.56375
LUDHIANA,2002,31.09166667,27.45916667
LUDHIANA,2003,49.05833333,25.96708333
LUDHIANA,2004,40.8975,26.84208333
LUDHIANA,2005,46.84,25.80916667
LUDHIANA,2006,47.61583333,26.48833333
LUDHIANA,2007,41.69833333,26.48791667
LUDHIANA,2008,76.2825,25.22208333
LUDHIANA,2009,38.80333333,26.57625
LUDHIANA,2010,55.99666667,26.42875
LUDHIANA,2011,57.94,25.45208333
LUDHIANA,2012,38.71666667,25.77541667
MANSA,1998,37.6275,26.63166667
MANSA,1999,15.8825,28.07166667
MANSA,2000,20.04,27.54625
MANSA,2001,35.7875,27.06666667
MANSA,2002,19.445,28.05
MANSA,2003,42.08166667,26.37916667
MANSA,2004,28.6625,27.53291667
MANSA,2005,37.25833333,26.29958333
MANSA,2006,27.7025,27.3375
MANSA,2007,37.01083333,27.05791667
MANSA,2008,50.12666667,26.17208333
MANSA,2009,29.43666667,27.17791667
MANSA,2010,45.66666667,26.88875
MANSA,2011,44.9775,26.165
MANSA,2012,33.7625,26.06375
MOGA,1998,27.81583333,26.79958333
MOGA,1999,22.84666667,27.70583333
MOGA,2000,28.25416667,27.125
MOGA,2001,35.83916667,26.82083333
MOGA,2002,25.7975,27.69791667
MOGA,2003,41.63833333,26.22
MOGA,2004,34.83166667,27.175
MOGA,2005,43.11083333,25.93125
MOGA,2006,45.6375,26.59416667
MOGA,2007,38.51916667,26.66958333
MOGA,2008,65.0225,25.5625
MOGA,2009,33.07583333,26.79041667
MOGA,2010,47.2375,26.66083333
MOGA,2011,50.37416667,25.77041667
MOGA,2012,35.53166667,25.87291667
MUKATSAR,1998,27.87583333,27.08041667
MUKATSAR,1999,16.4825,28.14166667
MUKATSAR,2000,20.26666667,27.59791667
MUKATSAR,2001,30.40833333,27.29583333
MUKATSAR,2002,18.275,28.13958333
MUKATSAR,2003,37.2525,26.53791667
MUKATSAR,2004,27.58,27.69083333
MUKATSAR,2005,34.2425,26.375
MUKATSAR,2006,32.12666667,27.20625
MUKATSAR,2007,34.32166667,27.13208333
MUKATSAR,2008,49.255,26.26333333
MUKATSAR,2009,28.33083333,27.18125
MUKATSAR,2010,42.1275,27.01166667
MUKATSAR,2011,43.3875,26.29458333
MUKATSAR,2012,32.535,26.11958333
NAWANSHAHR,1998,32.34416667,26.38291667
NAWANSHAHR,1999,32.2,27.14458333
NAWANSHAHR,2000,41.01583333,26.54375
NAWANSHAHR,2001,45.6625,26.32708333
NAWANSHAHR,2002,37.0775,27.14
NAWANSHAHR,2003,53.6325,25.81208333
NAWANSHAHR,2004,45.565,26.64166667
NAWANSHAHR,2005,53.49083333,25.50916667
NAWANSHAHR,2006,63.88833333,26.04791667
NAWANSHAHR,2007,50.2,26.05
NAWANSHAHR,2008,90.14333333,24.945
NAWANSHAHR,2009,42.17916667,26.33958333
NAWANSHAHR,2010,62.85666667,26.25416667
NAWANSHAHR,2011,65.46583333,25.19083333
NAWANSHAHR,2012,44.08916667,25.59625
PATIALA,1998,48.2775,25.91208333
PATIALA,1999,27.9,27.38375
PATIALA,2000,45.66416667,26.55958333
PATIALA,2001,45.4125,26.4175
PATIALA,2002,34.91833333,27.35083333
PATIALA,2003,59.54583333,25.72875
PATIALA,2004,46.67416667,26.60041667
PATIALA,2005,48.6925,25.84166667
PATIALA,2006,39.2,26.755
PATIALA,2007,43.44083333,26.55125
PATIALA,2008,81.345,25.10541667
PATIALA,2009,44.6925,26.52083333
PATIALA,2010,65.97416667,26.23458333
PATIALA,2011,63.52166667,25.23208333
PATIALA,2012,40.70416667,25.77708333
ROPAR(RUPNAGAR),1998,70.88333333,21.79666667
ROPAR(RUPNAGAR),1999,46.96833333,22.78166667
ROPAR(RUPNAGAR),2000,69.12916667,21.98083333
ROPAR(RUPNAGAR),2001,72.93916667,21.92958333
ROPAR(RUPNAGAR),2002,58.14833333,22.6375
ROPAR(RUPNAGAR),2003,84.2275,21.50958333
ROPAR(RUPNAGAR),2004,74.66666667,22.15833333
ROPAR(RUPNAGAR),2005,74.0425,21.33458333
ROPAR(RUPNAGAR),2006,74.93,22.07166667
ROPAR(RUPNAGAR),2007,74.92583333,21.78458333
ROPAR(RUPNAGAR),2008,125.5383333,20.89958333
ROPAR(RUPNAGAR),2009,67.74,22.09
ROPAR(RUPNAGAR),2010,108.4291667,22.04708333
ROPAR(RUPNAGAR),2011,103.7641667,20.8725
ROPAR(RUPNAGAR),2012,69.6325,21.46166667
SANGRUR,1998,38.12583333,26.315
SANGRUR,1999,21.91083333,27.63708333
SANGRUR,2000,31.74666667,26.96208333
SANGRUR,2001,38.78416667,26.64208333
SANGRUR,2002,26.39916667,27.62625
SANGRUR,2003,47.79916667,26.00041667
SANGRUR,2004,36.56,26.97916667
SANGRUR,2005,42.3725,25.96541667
SANGRUR,2006,35.8025,26.84625
SANGRUR,2007,38.79416667,26.70541667
SANGRUR,2008,64.98416667,25.48416667
SANGRUR,2009,35.63916667,26.74916667
SANGRUR,2010,52.72333333,26.49541667
SANGRUR,2011,52.46833333,25.61666667
SANGRUR,2012,36.13833333,25.83791667
