district_encoded,year,crop_encoded,season_encoded,area,AvgRain,AvgTemp
14,2003,11,0,300,59.54583333,25.72875
0,2002,3,0,1000,33.74583333,27.36916667
1,2002,5,0,700,18.275,28.13958333
4,2003,5,0,100,37.48166667,26.46666667
14,2012,15,1,1000,40.70416667,25.77708333
0,2002,11,0,1800,33.74583333,27.36916667
9,2007,3,0,3000,41.69833333,26.48791667
12,2007,4,1,200,34.32166667,27.13208333
8,2003,15,1,1000,45.74166667,26.11833333
14,2000,10,1,1200,45.66416667,26.55958333
16,1998,0,0,1700,38.12583333,26.315
0,2004,18,2,7000,42.83916667,26.97333333
12,2003,15,1,3000,37.2525,26.53791667
10,2006,4,1,400,27.7025,27.3375
14,2000,18,2,3000,45.66416667,26.55958333
0,2004,15,1,2000,42.83916667,26.97333333
13,2010,15,1,1000,62.85666667,26.25416667
11,2008,15,1,1000,65.0225,25.5625
7,2007,0,0,900,50.2,26.05
6,2005,9,0,66000,58.44416667,24.74875
2,2012,11,0,400,33.44083333,26.00541667
11,2006,0,0,800,45.6375,26.59416667
16,2010,16,0,272000,52.72333333,26.49541667
6,2007,4,1,100,62.96083333,25.07583333
12,2000,18,2,4000,20.26666667,27.59791667
15,2003,17,0,300,84.2275,21.50958333
9,2010,14,1,300,55.99666667,26.42875
12,2012,16,0,118000,32.535,26.11958333
15,2002,0,0,300,58.14833333,22.6375
5,2009,17,0,900,43.18583333,25.03
0,2007,16,0,178000,55.90916667,25.94083333
6,2005,16,0,61000,58.44416667,24.74875
1,1998,4,1,3800,27.87583333,27.08041667
7,2007,17,0,600,50.2,26.05
15,2006,21,1,57000,74.93,22.07166667
11,2007,0,0,600,38.51916667,26.66958333
7,2003,16,0,138000,53.6325,25.81208333
12,2008,16,0,95000,49.255,26.26333333
10,2002,16,0,88000,19.445,28.05
6,2001,5,0,300,52.39333333,25.55375
14,1999,18,2,3000,27.9,27.38375
2,2002,5,0,200,22.02416667,27.93333333
0,2005,0,0,1100,52.91583333,25.56041667
16,2003,11,0,3100,47.79916667,26.00041667
14,2010,15,1,1000,65.97416667,26.23458333
2,2003,2,1,1000,37.48166667,26.46666667
7,2003,21,1,169000,53.6325,25.81208333
16,2004,0,0,1800,36.56,26.97916667
6,2005,18,2,21000,58.44416667,24.74875
1,2003,12,0,100,37.2525,26.53791667
12,2005,18,2,1000,34.2425,26.375
2,2006,6,2,100,43.10666667,26.76416667
4,2000,21,1,378000,22.84083333,27.435
5,2010,20,0,1800,79.73166667,24.80083333
6,2003,0,0,100,63.92416667,25.03416667
4,2010,4,1,1100,41.98083333,26.90458333
1,2000,4,1,1100,20.26666667,27.59791667
6,2006,15,1,4000,79.065,25.21916667
5,1999,17,0,2400,30.54916667,25.92708333
13,1999,9,0,18000,32.2,27.14458333
11,2010,3,0,3000,47.2375,26.66083333
2,2005,15,1,1000,40.05083333,26.1
13,2001,18,2,12000,45.6625,26.32708333
9,2010,11,0,1300,55.99666667,26.42875
14,1999,11,0,200,27.9,27.38375
14,2004,16,0,250000,46.67416667,26.60041667
14,2008,14,1,1200,81.345,25.10541667
9,2000,2,1,3000,37.05166667,26.77541667
9,2004,9,0,2000,40.8975,26.84208333
9,2009,14,1,300,38.80333333,26.57625
14,2001,9,0,5000,45.4125,26.4175
12,2000,3,0,87000,20.26666667,27.59791667
3,2005,16,0,85000,53.77583333,25.74166667
7,2003,19,1,5000,53.6325,25.81208333
6,2009,18,2,1400,45.20583333,25.605
6,2006,16,0,56000,79.065,25.21916667
8,2006,14,1,100,60.74583333,26.1925
1,2010,16,0,107000,42.1275,27.01166667
5,2002,15,1,3000,42.1575,25.71625
4,2008,14,1,100,56.525,25.96291667
9,2001,21,1,257000,40.48583333,26.56375
12,2006,21,1,202000,32.12666667,27.20625
7,2009,14,1,100,42.17916667,26.33958333
7,2008,9,0,12000,90.14333333,24.945
6,2012,14,1,200,50.80416667,24.88833333
0,2010,17,0,1500,58.83083333,26.36833333
16,2005,16,0,367000,42.3725,25.96541667
0,2012,20,0,200,43.16083333,25.68208333
1,2003,1,0,1000,37.2525,26.53791667
2,2000,21,1,111000,22.84083333,27.435
3,1998,15,1,1000,47.61583333,26.00708333
15,2009,21,1,65000,67.74,22.09
1,2010,15,1,2000,42.1275,27.01166667
6,2008,17,0,500,101.3833333,24.3025
14,2003,16,0,246000,59.54583333,25.72875
1,2012,16,0,107000,32.535,26.11958333
10,2008,4,1,100,50.12666667,26.17208333
9,2006,5,0,200,47.61583333,26.48833333
5,1999,20,0,1900,30.54916667,25.92708333
7,1998,15,1,2000,32.34416667,26.38291667
16,2007,4,1,200,38.79416667,26.70541667
10,2009,5,0,100,29.43666667,27.17791667
1,2004,16,0,102000,27.58,27.69083333
6,2006,17,0,800,79.065,25.21916667
3,2003,16,0,83000,63.49083333,25.7175
4,2012,1,0,1000,33.44083333,26.00541667
13,2008,16,0,52000,90.14333333,24.945
15,2003,10,1,600,84.2275,21.50958333
11,2000,0,0,800,28.25416667,27.125
16,2002,1,0,2000,26.39916667,27.62625
12,2008,15,1,1000,49.255,26.26333333
10,2008,16,0,71000,50.12666667,26.17208333
2,2002,18,2,5000,22.02416667,27.93333333
13,2005,18,2,7000,53.49083333,25.50916667
16,2000,1,0,2000,31.74666667,26.96208333
2,1998,15,1,1000,23.385,27.16416667
16,2001,15,1,300,38.78416667,26.64208333
0,1998,18,2,9000,21.14916667,27.10916667
5,2010,10,1,200,79.73166667,24.80083333
4,2010,2,1,3000,41.98083333,26.90458333
7,2005,15,1,1000,53.49083333,25.50916667
14,2003,0,0,300,59.54583333,25.72875
10,2004,6,2,4200,28.6625,27.53291667
12,2003,3,0,91000,37.2525,26.53791667
15,2012,15,1,2000,69.6325,21.46166667
0,2001,3,0,2000,45.05583333,26.55125
12,2008,17,0,300,49.255,26.26333333
4,2012,16,0,267000,33.44083333,26.00541667
5,2005,16,0,190000,55.97833333,24.12208333
14,2007,11,0,100,43.44083333,26.55125
1,2002,17,0,1600,18.275,28.13958333
4,2001,0,0,200,32.3675,27.11625
7,2000,16,0,136000,41.01583333,26.54375
14,2008,11,0,100,81.345,25.10541667
11,2009,11,0,500,33.07583333,26.79041667
13,2004,9,0,18000,45.565,26.64166667
14,1998,11,2,300,48.2775,25.91208333
14,2003,20,0,100,59.54583333,25.72875
16,1999,9,0,1000,21.91083333,27.63708333
11,2003,2,1,1000,41.63833333,26.22
15,2002,21,1,86000,58.14833333,22.6375
5,2003,18,2,22000,74.43583333,24.22375
10,2004,16,0,75000,28.6625,27.53291667
14,2004,9,0,4000,46.67416667,26.60041667
10,2003,15,1,5000,42.08166667,26.37916667
7,1999,11,0,100,32.2,27.14458333
7,1999,15,1,2000,32.2,27.14458333
6,2012,5,0,1600,50.80416667,24.88833333
16,2004,1,0,2000,36.56,26.97916667
1,2008,4,1,200,49.255,26.26333333
3,2006,0,0,100,51.31083333,26.45958333
12,2008,21,1,202000,49.255,26.26333333
14,2008,0,0,100,81.345,25.10541667
9,2002,4,1,200,31.09166667,27.45916667
13,2005,9,0,17000,53.49083333,25.50916667
1,2008,16,0,97000,49.255,26.26333333
3,2000,13,1,100,53.16583333,26.38208333
14,2001,21,1,265000,45.4125,26.4175
15,2008,16,0,36000,125.5383333,20.89958333
2,1998,3,0,22000,23.385,27.16416667
15,2009,18,2,200,67.74,22.09
14,2000,16,0,255000,45.66416667,26.55958333
12,2010,21,1,192000,42.1275,27.01166667
5,1999,9,0,13000,30.54916667,25.92708333
0,2004,11,0,2200,42.83916667,26.97333333
16,2012,16,0,276000,36.13833333,25.83791667
8,2002,4,1,100,31.44583333,27.45333333
9,2004,0,0,2000,40.8975,26.84208333
9,1998,0,0,2600,34.615,26.41208333
2,2004,4,1,100,31.17583333,27.50583333
6,2004,18,2,18000,50.45833333,25.90375
2,1999,18,2,2000,19.7675,27.97625
7,2005,20,0,100,53.49083333,25.50916667
16,1998,4,1,600,38.12583333,26.315
1,1999,0,0,100,16.4825,28.14166667
1,2006,11,0,1000,32.12666667,27.20625
12,2001,11,0,1500,30.40833333,27.29583333
10,2005,2,1,2000,37.25833333,26.29958333
3,2002,18,2,5000,40.61083333,27.21166667
13,2006,21,1,72000,63.88833333,26.04791667
15,2002,10,1,600,58.14833333,22.6375
0,1998,3,0,4000,21.14916667,27.10916667
7,2000,21,1,167000,41.01583333,26.54375
2,2010,0,0,100,41.98083333,26.90458333
8,1998,18,2,4000,25.0475,26.83791667
16,2006,16,0,362000,35.8025,26.84625
10,2007,5,0,100,37.01083333,27.05791667
14,2012,19,1,1000,40.70416667,25.77708333
2,2003,18,2,3000,37.48166667,26.46666667
4,2000,16,0,248000,22.84083333,27.435
12,1999,17,0,1000,16.4825,28.14166667
6,2009,15,1,5000,45.20583333,25.605
13,2010,9,0,14000,62.85666667,26.25416667
3,1998,10,1,100,47.61583333,26.00708333
13,1998,15,1,2000,32.34416667,26.38291667
5,1999,21,1,213000,30.54916667,25.92708333
15,1998,9,0,26000,70.88333333,21.79666667
4,1999,2,1,4000,19.7675,27.97625
7,2010,14,1,100,62.85666667,26.25416667
16,1998,3,0,24000,38.12583333,26.315
2,2003,11,0,1000,37.48166667,26.46666667
15,2003,0,0,300,84.2275,21.50958333
9,2010,21,1,257000,55.99666667,26.42875
9,1998,18,2,5000,34.615,26.41208333
16,1998,18,2,5000,38.12583333,26.315
14,2005,18,2,2000,48.6925,25.84166667
1,1998,1,0,1000,27.87583333,27.08041667
10,1999,4,1,1000,15.8825,28.07166667
7,2002,16,0,133000,37.0775,27.14
11,2004,0,0,900,34.83166667,27.175
6,2007,20,0,500,62.96083333,25.07583333
14,2004,3,0,1000,46.67416667,26.60041667
0,2003,21,1,358000,54.88166667,25.93083333
7,2010,17,0,400,62.85666667,26.25416667
10,2012,6,2,2800,33.7625,26.06375
1,2001,15,1,700,30.40833333,27.29583333
6,2000,9,0,66000,45.085,25.79708333
2,2007,4,1,100,36.405,26.8725
12,2008,2,1,1000,49.255,26.26333333
5,2003,16,0,193000,74.43583333,24.22375
1,2007,4,1,200,34.32166667,27.13208333
6,2001,9,0,65000,52.39333333,25.55375
16,2006,3,0,27000,35.8025,26.84625
5,2005,21,1,227000,55.97833333,24.12208333
9,2001,4,1,200,40.48583333,26.56375
8,2008,21,1,111000,77.36166667,25.28041667
11,1998,15,1,1000,27.81583333,26.79958333
0,2009,20,0,200,36.28416667,26.58416667
4,2003,6,2,7400,37.48166667,26.46666667
0,2007,17,0,1900,55.90916667,25.94083333
13,1998,8,1,100,32.34416667,26.38291667
3,2003,18,2,4000,63.49083333,25.7175
15,2001,10,1,600,72.93916667,21.92958333
8,2002,9,0,3000,31.44583333,27.45333333
12,2004,18,2,1000,27.58,27.69083333
9,2001,11,0,4000,40.48583333,26.56375
15,2006,10,1,100,74.93,22.07166667
3,2008,1,0,2000,95.92416667,24.92833333
9,2004,15,1,2000,40.8975,26.84208333
2,2004,0,0,200,31.17583333,27.50583333
1,2004,4,1,600,27.58,27.69083333
9,2009,0,0,1200,38.80333333,26.57625
14,2005,3,0,1000,48.6925,25.84166667
12,2002,6,2,5400,18.275,28.13958333
13,2008,15,1,1000,90.14333333,24.945
7,2012,16,0,165000,44.08916667,25.59625
6,2003,4,1,400,63.92416667,25.03416667
9,2000,3,0,1000,37.05166667,26.77541667
7,2001,18,2,16000,45.6625,26.32708333
13,2012,19,1,1000,44.08916667,25.59625
5,2006,9,0,13000,83.44,24.49625
4,2012,11,0,900,33.44083333,26.00541667
16,2004,11,0,2600,36.56,26.97916667
4,2009,3,0,126000,29.8275,27.00041667
6,2001,0,0,100,52.39333333,25.55375
14,2002,20,0,100,34.91833333,27.35083333
11,2009,0,0,400,33.07583333,26.79041667
11,2009,16,0,172000,33.07583333,26.79041667
10,2006,17,0,400,27.7025,27.3375
2,2003,21,1,114000,37.48166667,26.46666667
1,2003,11,0,1800,37.2525,26.53791667
7,1998,17,0,1300,32.34416667,26.38291667
12,2006,15,1,1000,32.12666667,27.20625
7,2010,0,0,600,62.85666667,26.25416667
6,1999,14,1,1100,35.5325,26.37541667
8,1999,9,0,4000,27.48583333,27.48916667
7,1999,17,0,1300,32.2,27.14458333
16,2005,15,1,3000,42.3725,25.96541667
1,2002,1,0,1000,18.275,28.13958333
0,2001,9,0,5000,45.05583333,26.55125
8,2001,18,2,6000,40.47,26.62666667
13,2008,21,1,76000,90.14333333,24.945
0,2005,20,0,200,52.91583333,25.56041667
16,1999,11,0,5700,21.91083333,27.63708333
2,2004,11,0,900,31.17583333,27.50583333
14,2002,3,0,1000,34.91833333,27.35083333
6,2009,5,0,2200,45.20583333,25.605
3,2010,16,0,87000,73.59166667,26.16833333
14,1998,10,1,1100,48.2775,25.91208333
6,2008,16,0,60000,101.3833333,24.3025
2,2009,3,0,18000,29.8275,27.00041667
4,1999,11,0,9900,19.7675,27.97625
6,2000,18,2,17000,45.085,25.79708333
1,1998,11,2,2500,27.87583333,27.08041667
4,2002,0,0,200,22.02416667,27.93333333
15,2012,18,2,3000,69.6325,21.46166667
13,2002,17,0,200,37.0775,27.14
14,2004,4,1,100,46.67416667,26.60041667
1,2004,6,2,9600,27.58,27.69083333
16,2012,14,1,300,36.13833333,25.83791667
8,2009,15,1,1000,35.8925,26.62
7,2009,17,0,500,42.17916667,26.33958333
7,2003,0,0,1100,53.6325,25.81208333
14,2005,21,1,262000,48.6925,25.84166667
11,2004,16,0,164000,34.83166667,27.175
16,2000,9,0,1000,31.74666667,26.96208333
0,2008,9,0,1000,78.35166667,25.32708333
9,2001,17,0,100,40.48583333,26.56375
1,2010,11,0,600,42.1275,27.01166667
4,2002,18,2,9000,22.02416667,27.93333333
7,2009,15,1,1000,42.17916667,26.33958333
10,2006,6,2,4500,27.7025,27.3375
5,2008,10,1,200,93.58416667,23.8325
12,2004,15,1,3000,27.58,27.69083333
9,2004,16,0,400000,40.8975,26.84208333
4,2009,7,0,100,29.8275,27.00041667
0,2004,17,0,3400,42.83916667,26.97333333
8,1999,21,1,111000,27.48583333,27.48916667
7,2009,11,0,100,42.17916667,26.33958333
4,2005,18,2,1000,40.05083333,26.1
7,1998,14,1,200,32.34416667,26.38291667
11,2004,3,0,6000,34.83166667,27.175
12,1998,11,2,1900,27.87583333,27.08041667
3,2003,21,1,85000,63.49083333,25.7175
11,2010,15,1,1000,47.2375,26.66083333
10,2007,4,1,200,37.01083333,27.05791667
10,2003,17,0,300,42.08166667,26.37916667
5,2009,16,0,204000,43.18583333,25.03
3,2001,2,1,1000,49.18416667,26.37166667
5,2012,15,1,2000,53.06583333,24.24916667
0,2002,17,0,5200,33.74583333,27.36916667
0,1999,0,0,1200,26.2825,27.5775
15,2003,1,0,1000,84.2275,21.50958333
6,2006,20,0,300,79.065,25.21916667
7,2005,0,0,1200,53.49083333,25.50916667
6,2000,5,0,3000,45.085,25.79708333
10,1998,21,1,159000,37.6275,26.63166667
1,2008,2,1,2000,49.255,26.26333333
2,1998,18,2,2000,23.385,27.16416667
10,2009,21,1,170000,29.43666667,27.17791667
6,2002,4,1,500,42.815,26.33125
7,2003,11,0,300,53.6325,25.81208333
3,2001,0,0,300,49.18416667,26.37166667
4,2008,6,2,12500,56.525,25.96291667
10,2005,21,1,163000,37.25833333,26.29958333
5,2003,15,1,3000,74.43583333,24.22375
12,2001,4,1,300,30.40833333,27.29583333
7,1998,0,0,400,32.34416667,26.38291667
9,1999,21,1,259000,26.82583333,27.4475
2,2010,21,1,117000,41.98083333,26.90458333
2,2000,11,0,3200,22.84083333,27.435
4,1998,4,1,2800,23.385,27.16416667
10,2005,4,1,300,37.25833333,26.29958333
9,2002,11,0,2200,31.09166667,27.45916667
11,1999,2,1,1000,22.84666667,27.70583333
13,2006,0,0,100,63.88833333,26.04791667
6,2008,10,1,300,101.3833333,24.3025
11,2006,4,1,200,45.6375,26.59416667
1,2009,15,1,2000,28.33083333,27.18125
7,2001,11,0,200,45.6625,26.32708333
0,1998,20,0,400,21.14916667,27.10916667
15,2006,16,0,38000,74.93,22.07166667
2,2000,3,0,14000,22.84083333,27.435
6,2005,15,1,3000,58.44416667,24.74875
15,2010,4,1,200,108.4291667,22.04708333
16,2012,19,1,100,36.13833333,25.83791667
13,2004,16,0,50000,45.565,26.64166667
12,2001,2,1,3000,30.40833333,27.29583333
11,2008,21,1,117000,65.0225,25.5625
10,2008,11,0,300,50.12666667,26.17208333
7,2004,11,0,200,45.565,26.64166667
4,2010,1,0,1000,41.98083333,26.90458333
6,2002,0,0,100,42.815,26.33125
5,2010,4,1,100,79.73166667,24.80083333
2,2007,21,1,117000,36.405,26.8725
4,2009,11,0,1600,29.8275,27.00041667
2,2005,18,2,1000,40.05083333,26.1
4,2006,4,1,1300,43.10666667,26.76416667
7,2001,8,1,100,45.6625,26.32708333
10,2008,17,0,200,50.12666667,26.17208333
6,1998,18,2,13000,30.60083333,25.81583333
11,2012,21,1,176000,35.53166667,25.87291667
5,2012,18,2,25000,53.06583333,24.24916667
12,2000,2,1,4000,20.26666667,27.59791667
14,2000,11,0,300,45.66416667,26.55958333
16,2012,3,0,11000,36.13833333,25.83791667
8,1998,11,2,200,25.0475,26.83791667
10,2003,4,1,700,42.08166667,26.37916667
8,2004,18,2,5000,39.37333333,27.00041667
4,2007,16,0,243000,36.405,26.8725
13,2006,16,0,53000,63.88833333,26.04791667
4,2001,15,1,1100,32.3675,27.11625
16,2003,4,1,600,47.79916667,26.00041667
5,1998,14,1,400,24.57916667,25.52208333
14,2003,21,1,266000,59.54583333,25.72875
4,2004,21,1,386000,31.17583333,27.50583333
3,2002,4,1,100,40.61083333,27.21166667
4,1998,2,1,4000,23.385,27.16416667
14,2003,2,1,2000,59.54583333,25.72875
15,2012,21,1,63000,69.6325,21.46166667
15,2012,6,2,100,69.6325,21.46166667
5,2012,20,0,1600,53.06583333,24.24916667
14,2002,0,0,200,34.91833333,27.35083333
11,2005,4,1,200,43.11083333,25.93125
16,2000,3,0,21000,31.74666667,26.96208333
7,2008,11,0,100,90.14333333,24.945
9,1998,9,0,3000,34.615,26.41208333
11,1998,2,1,1000,27.81583333,26.79958333
3,1999,21,1,86000,33.88083333,27.225
15,2008,4,1,200,125.5383333,20.89958333
1,2000,3,0,147000,20.26666667,27.59791667
5,2004,21,1,227000,50.8525,25.30625
0,2008,10,1,100,78.35166667,25.32708333
16,1998,11,2,6000,38.12583333,26.315
14,2001,15,1,200,45.4125,26.4175
0,2012,18,2,4000,43.16083333,25.68208333
7,2006,11,0,100,63.88833333,26.04791667
16,2009,18,2,100,35.63916667,26.74916667
1,2004,2,1,3000,27.58,27.69083333
10,2010,1,0,1000,45.66666667,26.88875
5,2007,17,0,900,71.8,24.26666667
16,2006,21,1,396000,35.8025,26.84625
0,2006,15,1,1000,70.41083333,25.94375
3,1999,15,1,1000,33.88083333,27.225
9,1998,15,1,2000,34.615,26.41208333
1,2000,12,0,100,20.26666667,27.59791667
16,1999,21,1,394000,21.91083333,27.63708333
14,2004,18,2,2000,46.67416667,26.60041667
0,2005,11,0,1500,52.91583333,25.56041667
0,1998,14,1,400,21.14916667,27.10916667
5,2001,21,1,217000,53.46,24.95208333
0,2012,6,2,300,43.16083333,25.68208333
14,2008,2,1,1000,81.345,25.10541667
7,2012,18,2,10000,44.08916667,25.59625
2,1999,2,1,1000,19.7675,27.97625
13,2007,16,0,50000,50.2,26.05
4,2007,0,0,200,36.405,26.8725
5,2009,18,2,1900,43.18583333,25.03
12,2004,5,0,200,27.58,27.69083333
1,2005,16,0,95000,34.2425,26.375
15,2001,21,1,88000,72.93916667,21.92958333
12,2005,3,0,117000,34.2425,26.375
9,2009,2,1,2000,38.80333333,26.57625
9,2006,15,1,1000,47.61583333,26.48833333
16,2010,21,1,287000,52.72333333,26.49541667
4,2004,4,1,1300,31.17583333,27.50583333
11,1998,16,0,118000,27.81583333,26.79958333
6,2012,19,1,1500,50.80416667,24.88833333
16,2004,18,2,2000,36.56,26.97916667
3,2010,21,1,85000,73.59166667,26.16833333
4,2008,15,1,4000,56.525,25.96291667
14,1998,4,1,200,48.2775,25.91208333
10,2010,21,1,170000,45.66666667,26.88875
3,1999,0,0,400,33.88083333,27.225
14,2002,11,0,200,34.91833333,27.35083333
1,2002,9,0,1000,18.275,28.13958333
10,2008,3,0,90000,50.12666667,26.17208333
7,2002,21,1,167000,37.0775,27.14
0,2009,18,2,300,36.28416667,26.58416667
12,2010,11,0,400,42.1275,27.01166667
15,2002,20,0,400,58.14833333,22.6375
7,1998,9,0,13000,32.34416667,26.38291667
14,2009,3,0,1000,44.6925,26.52083333
1,2002,15,1,13000,18.275,28.13958333
15,2000,8,1,100,69.12916667,21.98083333
1,2001,11,0,1600,30.40833333,27.29583333
5,1999,4,1,100,30.54916667,25.92708333
8,2006,16,0,110000,60.74583333,26.1925
0,2010,11,0,100,58.83083333,26.36833333
13,2001,8,1,100,45.6625,26.32708333
14,2005,15,1,2000,48.6925,25.84166667
14,2004,10,1,900,46.67416667,26.60041667
10,2004,4,1,400,28.6625,27.53291667
8,1998,14,1,200,25.0475,26.83791667
13,2007,9,0,17000,50.2,26.05
14,2006,15,1,1000,39.2,26.755
8,2012,9,0,2000,39.58916667,25.7525
3,2012,15,1,1000,45.86166667,25.75541667
14,2006,21,1,244000,39.2,26.755
3,2004,18,2,2000,52.715,26.535
15,2007,0,0,200,74.92583333,21.78458333
16,2009,16,0,271000,35.63916667,26.74916667
7,2001,17,0,1700,45.6625,26.32708333
16,2006,9,0,1000,35.8025,26.84625
11,2006,15,1,1000,45.6375,26.59416667
5,2004,18,2,20000,50.8525,25.30625
4,2009,18,2,100,29.8275,27.00041667
1,2002,2,1,3000,18.275,28.13958333
2,1998,21,1,110000,23.385,27.16416667
12,2012,4,1,100,32.535,26.11958333
1,2003,2,1,3000,37.2525,26.53791667
9,2004,18,2,3000,40.8975,26.84208333
15,2010,20,0,100,108.4291667,22.04708333
3,2002,9,0,1000,40.61083333,27.21166667
9,2006,3,0,2000,47.61583333,26.48833333
1,1998,21,1,238000,27.87583333,27.08041667
3,2000,18,2,4000,53.16583333,26.38208333
9,2002,18,2,8000,31.09166667,27.45916667
16,2009,15,1,2000,35.63916667,26.74916667
6,2002,5,0,3200,42.815,26.33125
9,2005,18,2,2000,46.84,25.80916667
4,1999,3,0,119000,19.7675,27.97625
3,2004,0,0,200,52.715,26.535
9,2012,9,0,2000,38.71666667,25.77541667
7,2010,15,1,1000,62.85666667,26.25416667
9,2003,4,1,100,49.05833333,25.96708333
11,2000,21,1,172000,28.25416667,27.125
9,2002,0,0,2000,31.09166667,27.45916667
9,2005,11,0,2000,46.84,25.80916667
11,1999,4,1,200,22.84666667,27.70583333
5,2012,10,1,100,53.06583333,24.24916667
7,2004,18,2,11000,45.565,26.64166667
16,2007,3,0,15000,38.79416667,26.70541667
6,2003,18,2,22000,63.92416667,25.03416667
7,1998,18,2,13000,32.34416667,26.38291667
13,1999,16,0,46000,32.2,27.14458333
12,2006,16,0,68000,32.12666667,27.20625
0,2008,17,0,2000,78.35166667,25.32708333
4,2010,11,0,1400,41.98083333,26.90458333
0,2004,9,0,4000,42.83916667,26.97333333
4,2007,7,0,100,36.405,26.8725
0,2010,14,1,400,58.83083333,26.36833333
8,2010,15,1,1000,52.47,26.5225
11,2002,0,0,900,25.7975,27.69791667
0,2000,3,0,2000,33.02083333,26.97333333
1,2003,16,0,105000,37.2525,26.53791667
9,2010,0,0,1100,55.99666667,26.42875
6,2002,20,0,600,42.815,26.33125
2,2005,4,1,100,40.05083333,26.1
14,2007,16,0,234000,43.44083333,26.55125
6,2007,16,0,56000,62.96083333,25.07583333
14,2009,9,0,1000,44.6925,26.52083333
2,2008,6,2,300,56.525,25.96291667
3,1999,18,2,4000,33.88083333,27.225
16,2012,6,2,100,36.13833333,25.83791667
2,2004,18,2,1000,31.17583333,27.50583333
14,2002,9,0,4000,34.91833333,27.35083333
